2,Afghanistan
3,Albania
4,Algeria
5,Andorra
6,Angola
7,Antigua & Deps
8,Argentina
9,Armenia
10,Australia
11,Austria
12,Azerbaijan
13,Bahamas
14,Bahrain
15,Bangladesh
16,Barbados
17,Belarus
18,Belgium
19,Belize
20,Benin
21,Bhutan
22,Bolivia
23,Bosnia Herzegovina
24,Botswana
25,Brazil
26,Brunei
27,Bulgaria
28,Burkina
29,Burundi
30,Cambodia
31,Cameroon
32,Canada
33,Cape Verde
34,Central African Rep
35,Chad
36,Chile
37,China
38,Colombia
39,Comoros
40,Congo
41,Congo {Democratic Rep}
42,Costa Rica
43,Croatia
44,Cuba
45,Cyprus
46,Czech Republic
47,Denmark
48,Djibouti
49,Dominica
50,Dominican Republic
51,East Timor
52,Ecuador
53,Egypt
54,El Salvador
55,Equatorial Guinea
56,Eritrea
57,Estonia
58,Ethiopia
59,Fiji
60,Finland
61,France
62,Gabon
63,Gambia
64,Georgia
65,Germany
66,Ghana
67,Greece
68,Grenada
69,Guatemala
70,Guinea
71,Guinea-Bissau
72,Guyana
73,Haiti
74,Honduras
75,Hungary
76,Iceland
77,India
78,Indonesia
79,Iran
80,Iraq
81,Ireland {Republic}
82,Israel
83,Italy
84,Ivory Coast
85,Jamaica
86,Japan
87,Jordan
88,Kazakhstan
89,Kenya
90,Kiribati
91,Korea North
92,Korea South
93,Kosovo
94,Kuwait
95,Kyrgyzstan
96,Laos
97,Latvia
98,Lebanon
99,Lesotho
100,Liberia
101,Libya
102,Liechtenstein
103,Lithuania
104,Luxembourg
105,Macedonia
106,Madagascar
107,Malawi
108,Malaysia
109,Maldives
110,Mali
111,Malta
112,Marshall Islands
113,Mauritania
114,Mauritius
115,Mexico
116,Micronesia
117,Moldova
118,Monaco
119,Mongolia
120,Montenegro
121,Morocco
122,Mozambique
123,"Myanmar, {Burma}"
124,Namibia
125,Nauru
126,Nepal
127,Netherlands
128,New Zealand
129,Nicaragua
130,Niger
131,Nigeria
132,Norway
133,Oman
134,Pakistan
135,Palau
136,Panama
137,Papua New Guinea
138,Paraguay
139,Peru
140,Philippines
141,Poland
142,Portugal
143,Qatar
144,Romania
145,Russian Federation
146,Rwanda
147,St Kitts & Nevis
148,St Lucia
149,Saint Vincent & the Grenadines
150,Samoa
151,San Marino
152,Sao Tome & Principe
153,Saudi Arabia
154,Senegal
155,Serbia
156,Seychelles
157,Sierra Leone
158,Singapore
159,Slovakia
160,Slovenia
161,Solomon Islands
162,Somalia
163,South Africa
164,Spain
165,Sri Lanka
166,Sudan
167,Suriname
168,Swaziland
169,Sweden
170,Switzerland
171,Syria
172,Taiwan
173,Tajikistan
174,Tanzania
175,Thailand
176,Togo
177,Tonga
178,Trinidad & Tobago
179,Tunisia
180,Turkey
181,Turkmenistan
182,Tuvalu
183,Uganda
184,Ukraine
185,United Arab Emirates
186,United Kingdom
187,Uruguay
188,Uzbekistan
189,Vanuatu
190,Vatican City
191,Venezuela
192,Vietnam
193,Yemen
194,Zambia
195,Zimbabwe
